op,sub,dst_type,src_types,contiguity(dst:srcs),shape_class,count,graphs,family,example
ADD,-,f32,f32|f32,C:CC,bcast[.b..] nd2,169,1,K2,"dst1024,1024,1,1 s0:1024,1024,1,1 s1:1024,1,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd3,48,1,K2,"dst64,16,1024,1 s0:64,16,1024,1 s1:64,16,1024,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd2,48,1,K2,"dst1024,1029,1,1 s0:1024,1029,1,1 s1:1024,1029,1,1 p=-"
CONCAT,-,f32,f32|f32,C:CC,nd3,96,1,K2,"dst64,16,1024,1 s0:32,16,1024,1 s1:32,16,1024,1 p=-"
CONCAT,-,f32,f32|f32,C:CC,nd2,2,1,K2,"dst1024,1028,1,1 s0:1024,4,1,1 s1:1024,1024,1,1 p=1"
CONT,-,f32,f32,C:R,nd3 f32->f32,192,1,K2,"dst64,1029,16,1 s0:64,1029,16,1 p=-"
CONT,-,f32,f32,C:C,nd3 f32->f32,97,1,K2,"dst32,32,1024,1 s0:32,32,1024,1 p=-"
CONT,-,f32,f32,C:N,nd3 f32->f32,24,1,K2,"dst1029,64,16,1 s0:1029,64,16,1 p=-"
CONT,-,f32,f32,C:C,nd2 f32->f32,2,1,K2,"dst1024,1029,1,1 s0:1024,1029,1,1 p=-"
CONT,-,f32,f32,C:N,nd2 f32->f32,1,1,K2,"dst1024,1024,1,1 s0:1024,1024,1,1 p=-"
IM2COL,-,f16,f16|f32,C:CC,nd3,1,1,K7,"dst768,32,32,1 s0:16,16,3,1024 s1:512,512,3,1 p=16,16,0,0,1,1,1"
MUL,-,f32,f32|f32,C:CC,bcast[.b..] nd2,96,1,K2,"dst1024,1029,1,1 s0:1024,1029,1,1 s1:1024,1,1,1 p=-"
MUL,-,f32,f32|f32,C:CC,bcast[.b..] nd3,96,1,K2,"dst64,16,1024,1 s0:64,16,1024,1 s1:64,1,1024,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=1024,96,1,K6,"dst1024,1029,1,1 s0:1024,1024,1,1 s1:1024,1029,1,1 p=-"
MUL_MAT,-,f32,f32|f32,C:CC,mat K<=64 M<=4096 batch,24,1,K6,"dst1029,1029,16,1 s0:64,1029,16,1 s1:64,1029,16,1 p=-"
MUL_MAT,-,f32,f32|f32,C:CC,mat K<=4096 M<=64 batch,24,1,K6,"dst64,1029,16,1 s0:1029,64,16,1 s1:1029,1029,16,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=1024 M<=4096,24,1,K6,"dst4096,1029,1,1 s0:1024,4096,1,1 s1:1024,1029,1,1 p=-"
MUL_MAT,-,f32,f16|f32,C:CC,mat K<=4096 M<=1024,24,1,K6,"dst1024,1029,1,1 s0:4096,1024,1,1 s1:4096,1029,1,1 p=-"
MUL_MAT,-,f32,f16|f16,C:CC,mat K<=1024 M<=1024,1,1,K6,"dst1024,1024,1,1 s0:768,1024,1,1 s1:768,1024,1,1 p=-"
NORM,-,f32,f32,C:C,row<=1024,49,1,K3,"dst1024,1029,1,1 s0:1024,1029,1,1 p=925353388"
PERMUTE,-,f32,f32,R:C,view,96,1,noop,"dst64,1029,16,1 s0:64,16,1029,1 p=0,2,1,3"
PERMUTE,-,f32,f32,N:C,view,24,1,noop,"dst1029,64,16,1 s0:64,1029,16,1 p=1,0,2,3"
PERMUTE,-,f32,f32,C:C,view,1,1,noop,"dst32,32,1024,1 s0:32,32,1,1024 p=0,1,3,2"
RESHAPE,-,f32,f32,C:C,view,98,1,noop,"dst32,32,1,1024 s0:1024,1024,1,1 p=-"
RESHAPE,-,f16,f16,C:C,view,2,1,noop,"dst768,1024,1,1 s0:768,32,32,1 p=-"
SOFT_MAX,-,f32,f32,C:C,row<=4096,24,1,K4,"dst1029,1029,16,1 s0:1029,1029,16,1 p=1040187392"
TRANSPOSE,-,f32,f32,N:C,view,1,1,noop,"dst1024,1024,1,1 s0:1024,1024,1,1 p=-"
UNARY,NEG,f32,f32,C:C,nd3,48,1,K1,"dst32,16,1024,1 s0:32,16,1024,1 p=2"
UNARY,GELU_ERF,f32,f32,C:C,nd2,24,1,K1,"dst4096,1029,1,1 s0:4096,1029,1,1 p=16"
VIEW,-,f32,f32,C:C,view,96,1,noop,"dst64,16,5,1 s0:64,16,1029,1 p=-"
VIEW,-,f32,f32,R:C,view,96,1,noop,"dst32,16,1024,1 s0:64,16,1024,1 p=128"
