op,sub,dst_type,src_types,contiguity(dst:srcs),shape_class,count,graphs,family,example
ADD,-,f32,f32|f32,C:CC,bcast[bbb.] nd4,19,1,K2,"dst16,16,16,512 s0:16,16,16,512 s1:1,1,1,512 p=-"
ADD,-,f32,f32|f32,C:CC,bcast[.bbb] nd4,17,1,K2,"dst512,16,16,16 s0:512,16,16,16 s1:512,1,1,1 p=-"
ADD,-,f32,f32|f32,C:CC,same nd4,8,1,K2,"dst16,16,16,512 s0:16,16,16,512 s1:16,16,16,512 p=-"
ADD,-,f32,f32|f32,C:CC,bcast[bbb.] nd3,1,1,K2,"dst64,64,64,1 s0:64,64,64,1 s1:1,1,1,1 p=-"
CONT,-,f32,f32,C:N,nd4 f32->f32,48,1,K2,"dst512,16,16,16 s0:512,16,16,16 p=-"
CONV_3D,-,f32,f16|f32,C:CC,nd4,19,1,K7,"dst16,16,16,512 s0:3,3,3,4096 s1:16,16,16,8 p=1,1,1,1,1,1,1,1,1,8,1,512"
CONV_3D,-,f32,f16|f32,C:CC,nd3,1,1,K7,"dst64,64,64,1 s0:3,3,3,32 s1:64,64,64,32 p=1,1,1,1,1,1,1,1,1,32,1,1"
MUL,-,f32,f32|f32,C:CC,bcast[.bbb] nd4,17,1,K2,"dst512,16,16,16 s0:512,16,16,16 s1:512,1,1,1 p=-"
NORM,-,f32,f32,C:C,row<=1024,8,1,K3,"dst512,16,16,16 s0:512,16,16,16 p=925353388"
NORM,-,f32,f32,C:C,row<=64,5,1,K3,"dst32,64,64,64 s0:32,64,64,64 p=925353388"
NORM,-,f32,f32,C:C,row<=128,4,1,K3,"dst128,32,32,32 s0:128,32,32,32 p=925353388"
PERMUTE,-,f32,f32,N:C,view,48,1,noop,"dst512,16,16,16 s0:16,16,16,512 p=1,2,3"
RESHAPE,-,f32,f32,C:C,view,32,1,noop,"dst1,1,1,512 s0:512,1,1,1 p=-"
UNARY,SILU,f32,f32,C:C,nd4,17,1,K1,"dst16,16,16,512 s0:16,16,16,512 p=10"
